,prd_name,prd_brand,prd_price,prd_capa,prd_ingredients,prd_exp,prd_category
20,NEW 시카플라스트 밤B5+,라로슈포제,"39,000",3ml,정제수 하이드로제네이티드폴리아이소부텐 다이메티콘 글리세린 시어버터 판테놀 옥수수전분 프로판다이올 부틸렌글라이콜 세틸피이지/피피지-10/1다이메티콘 트라이하이드록시스테아린 병풀잎추출물 야콘뿌리즙 징크글루코네이트 마데카소사이드 망가니즈글루코네이트 알파-글루칸올리고사카라이드 실리카 알루미늄하이드록사이드 마그네슘설페이트 만노오스 카프릴로일글라이신 카프릴릴글라이콜 비트레오스실라발효물 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트 락토바실러스 아세틸레이티드글라이콜스테아레이트 말토덱스트린 폴리글리세릴-4아이소스테아레이트 토코페롤 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트 티타늄디옥사이드,18개월 이상 남아있는 제품부터 순차적으로 발송 / 개봉 후 6개월,크림
21,갈락 나이아신 투명광채 에센스,마녀공장,"29,000",50ml,"갈락토미세스발효여과물, 나이아신아마이드, 1,2-헥산다이올, 부틸렌글라이콜, 스타아니스추출물, 황금추출물, 소듐하이알루로네이트, 정제수, 버지니아풍년화추출물","제조일로부터 2년, 개봉 후 6개월",세럼
22,갈락토미세스 95 톤 밸런싱 에센스,코스알엑스,"18,500",100ml,"갈락토미세스발효여과물, 나이아신아마이드, 판테놀, 글리세린, 1,2-헥산다이올, 부틸렌글라이콜, 베타인, 소듐하이알루로네이트, 알란토인, 잔탄검, 에틸헥산다이올, 아데노신",상품 발송일 기준으로 사용기한이 18개월 이상 남아있는 제품부터 순차적으로 판매 (유통 기한 36개월 / 개봉 후 12개월 이내 사용 권장),세럼
23,갈락토미세스 발효 에센스,믹순,"32,000",100ml,갈락토미세스발효여과물 100%,개봉 전 24개월 / 개봉 후 6개월,세럼
24,광채프로폴리스세럼,조선미녀,"17,000",30ml,"프로폴리스추출물, 다이프로필렌글라이콜, 글리세린, 부틸렌글라이콜, 정제수, 나이아신아마이드, 1,2-헥산다이올, 인도멀구슬나무꽃추출물, 인도멀구슬나무잎추출물, 소듐하이알루로네이트, 울금뿌리추출물, 홀리바질잎추출물, 카카오씨추출물, 티트리추출물, 병풀추출물, 참산호말추출물, 서양벌노랑이씨추출물, 호동씨오일, 베타인살리실레이트, 소듐폴리아크릴로일다이메틸타우레이트, 트로메타민, 폴리글리세릴-10라우레이트, 카프릴릴글라이콜, 에틸헥실글리세린, 덱스트린, 펜틸렌글라이콜, 옥탄다이올, 토코페롤, 잔탄검, 카보머",제조일부터36개월/개봉후12개월이내,세럼
25,그라펜 데일리 선 에센스 52g,그라펜,"25,000",-,"정제수, 다이부틸아디페이트, 부틸렌글라이콜, 부틸옥틸살리실레이트, 폴리실리콘-15, 실리카, 디에칠아미노하이드록시벤조일헥실벤조에이트, C12-15알킬벤조에이트, 에칠헥실트리아존, 이소아밀p-메톡시신나메이트, 아크릴레이트코폴리머, 세테아릴올리베이트, 빙하수, 비즈왁스, 솔비탄올리베이트, 소듐스테아로일락틸레이트, 글리세릴스테아레이트, 세테아릴알코올, 카프릴릴글라이콜, 포타슘세틸포스페이트, 솔비탄스테아레이트, 에틸헥실글리세린, 향료, 코코-글루코사이드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 1,2-헥산다이올, 글리세릴카프릴레이트, 글루코오스, 베타인, 약모밀추출물, 판테놀, 녹차추출물, 쇠비름추출물, 멘톡시프로판다이올, 크랜베리추출물, 유칼립투스잎추출물, 편백수, 하이드롤라이즈드하이알루로닉애씨드, 리날룰, 리모넨",제조일로부터 36개월,세럼
26,그라펜 데일리 선 에센스 52g (단품 / 1+1 기획),그라펜,"25,000",-,"정제수, 다이부틸아디페이트, 부틸렌글라이콜, 부틸옥틸살리실레이트, 폴리실리콘-15, 실리카, 디에칠아미노하이드록시벤조일헥실벤조에이트, C12-15알킬벤조에이트, 에칠헥실트리아존, 이소아밀p-메톡시신나메이트, 아크릴레이트코폴리머, 세테아릴올리베이트, 빙하수, 비즈왁스, 솔비탄올리베이트, 소듐스테아로일락틸레이트, 글리세릴스테아레이트, 세테아릴알코올, 카프릴릴글라이콜, 포타슘세틸포스페이트, 솔비탄스테아레이트, 에틸헥실글리세린, 향료, 코코-글루코사이드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 1,2-헥산다이올, 글리세릴카프릴레이트, 글루코오스, 베타인, 약모밀추출물, 판테놀, 녹차추출물, 쇠비름추출물, 멘톡시프로판다이올, 크랜베리추출물, 유칼립투스잎추출물, 편백수, 하이드롤라이즈드하이알루로닉애씨드, 리날룰, 리모넨",제조일로부터 36개월,세럼
27,그린 카밍 세럼,비긴스,"35,000",35ml,"정제수, 글리세린, 디프로필렌글라이콜, 부틸렌글라이콜, 프로판디올, 나이아신아마이드, 1,2-헥산디올, 판테놀, 비피다발효용해물, 인도멀구슬나무잎추출물, 베르가모트열매오일, 클라리오일, 인도멀구슬나무꽃추출물, 서양송악추출물, 카카오씨추출물, 녹차추출물, 셀러리추출물, 브로콜리추출물, 오렌지껍질오일, C12-14파레스-12, 암모늄아크릴로일디메칠타우레이트/브이피코폴리머, 트로메타민, 에칠헥실글리세린, 아데노신, 소듐파이테이트, 덱스트린, 토코페롤, 칼슘클로라이드, 마그네슘설페이트, 카프릴릭/카프릭트리글리세라이드, 하이드로제네이티드레시틴, 세라마이드엔피, 소듐스테아로일글루타메이트, 카보머, 잔탄검, 리모넨, 리날룰",제조일로부터 36개월 (개봉후12개월),세럼
28,그린토마토 포어 리프팅 앰플 토너,성분에디터,"21,000",350ml+100ml,"정제수, 글리세린, 다이프로필렌글라이콜, 부틸렌글라이콜, 나이아신아마이드, 토마토추출물(10,000ppm), 벤질글라이콜, 아데노신, 글리세릴글루코사이드, 자일리톨, 글루코노락톤, 알란토인, 트레할로오스, 판테놀, 인도멀구슬나무잎추출물, 자일리틸글루코사이드, 안하이드로자일리톨, 인도멀구슬나무꽃추출물, 달맞이꽃추출물, 칡뿌리추출물, 대왕송잎추출물, 당느릅나무뿌리추출물, 세라마이드엔피, 토코페롤, 하이드로제네이티드폴리아이소부텐, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드글라이코사미노글리칸, 하이드롤라이즈드콜라겐, 소듐하이알루로네이트, 데이지꽃추출물, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 지모뿌리추출물, C12-13파레스-9, 1,2-헥산다이올, 에틸헥실글리세린, 하이드롤라이즈드스클레로튬검, 프로판다이올, 페네틸알코올, 소듐클로라이드, 포타슘클로라이드, 다이소듐포스페이트, 포타슘포스페이트",개봉 전 36개월 / 개봉 후 6개월 이내,스킨토너
29,그린토마토 포어 리프팅 앰플 플러스,성분에디터,"25,900",-,"정제수, 부틸렌글라이콜, 글리세린, 자일리톨, 1,2-헥산다이올, 나이아신아마이드, 다이프로필렌글라이콜, 에탄올, 트레할로오스, 잔탄검, C12-13파레스-9, 카보머, 다이포타슘글리시리제이트, 트로메타민, 알란토인, 폴리메틸실세스퀴옥세인, 소듐시트레이트, 아데노신, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 스타이렌/아크릴레이트코폴리머, 토마토추출물, 데이지꽃추출물, 하이드롤라이즈드콜라겐, 판테놀, 글루코노락톤, 아이비고드열매추출물, 호박가루, 가지열매추출물, 홀리바질잎추출물, 울금뿌리추출물, 참산호말추출물, 드럼스틱씨오일, 하이드로제네이티드폴리아이소부텐, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 세라마이드엔피, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 칡뿌리추출물, 대왕송잎추출물, 당느릅나무뿌리추출물, 달맞이꽃추출물, 지모뿌리추출물, 에틸헥실글리세린, 메틸다이하이드로자스모네이트, 다이소듐이디티에이, 페네틸알코올, 소듐클로라이드, 다이소듐포스페이트, 포타슘클로라이드, 포타슘포스페이트, 에틸리날룰, 에틸렌브라실레이트, 리날릴아세테이트, 유칼립톨, 메틸렌다이옥시페닐메틸프로판알, 2-t-부틸사이클로헥실아세테이트, 헥세닐아세테이트, 3-헥센올, 2,4-다이메틸-3-사이클로헥신카복스알데하이드, 벤질글라이콜, 토코페롤, 라즈베리케톤",개봉 전 36개월 / 개봉 후 12개월 이내,세럼
30,그린티 씨드 히알루론산 세럼,이니스프리,"31,000",80ml,"정제수*, 프로판다이올*, 글리세린*, 1,2-헥산다이올*, 나이아신아마이드, 베타인, 사카라이드아이소머레이트, 녹차씨오일(2,609 ppm), 자일리톨, 세테아릴올리베이트, 하이드로제네이티드레시틴, 부틸렌글라이콜*, 솔비탄올리베이트, 락토바실러스발효용해물, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 스쿠알란, 판테놀, 알란토인, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 트로메타민, 트라이에틸시트레이트, 에틸헥실글리세린*, 캐롭검, 다이소듐이디티에이*, 리모넨, 녹차추출물(366 ppm)*, 다이포타슘글리시리제이트, 레몬껍질오일, 소듐하이알루로네이트(103 ppm), 하이알루로닉애씨드(100 ppm)*, 덱스트린, 카카오추출물, 3-O-에틸아스코빅애씨드, 소듐시트레이트, 시트릭애씨드, 솔비탄아이소스테아레이트, 마테잎추출물, 글리세릴올리에이트*, 시트랄, 소두구씨오일, 토코페롤*, 레시틴*, 수크로오스, 라우릴글루코사이드*, 폴리글리세릴-6라우레이트*, 미리스틸글루코사이드*, 스피어민트잎오일, 시트로넬라오일, 갈바눔수지오일, 잔탄검*, 락틱애씨드, 하이드롤라이즈드하이알루로닉애씨드(0.5 ppm), 소듐하이알루로네이트크로스폴리머(0.2 ppm), 소듐아세틸레이티드하이알루로네이트(0.01 ppm)","개봉전 36개월, 개봉후 12개월",세럼
