브랜드,시군구별,도로명주소,사업장명,위도,경도
이디야,강동구,"서울특별시 강동구 양재대로 1377 (성내동,1층 9호)",이디야커피 둔촌점,37.52932461317983,127.133389281737
이디야,강동구,"서울특별시 강동구 구천면로 424, 명일메가타운 113,114호 (명일동)",이디야 명일역점,37.55031684238231,127.14267903953149
이디야,강동구,서울특별시 강동구 천호대로 1006 (성내동),이디야천호역점,37.53797886207512,127.1209025022148
이디야,강동구,"서울특별시 강동구 올림픽로 660, 1층 105호 (천호동, 천호엘크루주상복합)",이디야 커피,37.54016200646989,127.12162733586675
이디야,강북구,"서울특별시 강북구 도봉로 207 (미아동,(도봉로207)(지상1층))",이디야 미아역점,37.62711058593022,127.02254937730197
이디야,강동구,"서울특별시 강동구 동남로82길 121, 1층 (고덕동)",이디야커피,37.56041170325882,127.16082137429156
이디야,강동구,"서울특별시 강동구 고덕로 421, 대한연세요양원 1층 (강일동)",이디야 고덕교차로점,37.55741762622666,127.16966191317547
이디야,송파구,"서울특별시 송파구 송이로 87, 1층 (가락동)",이디야커피 가락중앙점,37.498373832291925,127.11790615426901
이디야,강북구,"서울특별시 강북구 삼각산로 108, 1층 (수유동)",이디야 가오리역점,37.64053916326185,127.01327899719766
이디야,강남구,"서울특별시 강남구 선릉로161길 20, 지상1층 102호 (신사동)",이디야커피 압구정로데오역점,37.527534353852424,127.03593796859842
이디야,도봉구,"서울특별시 도봉구 도봉산길 18, 1층 (도봉동)",이디야 도봉산점,37.68753430391857,127.04078031601388
이디야,강남구,"서울특별시 강남구 도산대로37길 20, 1층 (신사동)",이디야커피(강남도산점),37.52228252632958,127.02858968639717
이디야,중랑구,"서울특별시 중랑구 상봉중앙로 36, 1층 (상봉동)",이디야커피,37.60028502525504,127.08485302089807
이디야,서대문구,"서울특별시 서대문구 연희로 237, 1층 (연희동)",이디야 서대문구청점,37.57823045857585,126.93280409661342
이디야,강동구,"서울특별시 강동구 풍성로 162, 1층 (성내동)",이디야커피 강동성내점,37.530481694291844,127.12696815023709
이디야,영등포구,"서울특별시 영등포구 영신로19길 15 (영등포동, 지상1, 2층 일부)",이디야영등포본동점,37.51384789815077,126.9031084739373
이디야,서대문구,"서울특별시 서대문구 이화여대길 26, 이화빌딩 2,3층 (대현동)",이디야 이화여대점,37.557966491268736,126.94320077807622
이디야,중랑구,"서울특별시 중랑구 동일로157길 13, 1층 (묵동)",이디야커피 먹골역점,37.60972542176877,127.07400823656906
이디야,중구,"서울특별시 중구 명동7길 21, 명동아르누보센텀 1층 121호 (을지로2가)",이디야커피 명동중앙점,37.56471035723327,126.98097811025315
이디야,중랑구,"서울특별시 중랑구 면목로27길 92, 1층 (면목동)",이디야 면목경남아너스빌점,37.57426621813354,127.07764448782858
이디야,양천구,"서울특별시 양천구 은행정로4길 25, 1층 102호 (신정동, SM엘루이아파트)",이디야 남부지방법원점,37.52151512195963,126.8596981620861
이디야,도봉구,"서울특별시 도봉구 도봉로153길 15, 지상1층 (방학동)",이디야커피방학역점,37.669804972687395,127.03965493745348
이디야,강서구,"서울특별시 강서구 양천로 401, B동 1층 108호 (가양동, 1동 강서한강자이타워)",이디야커피(강서한강자이),37.56555014805881,126.845108474169
이디야,양천구,"서울특별시 양천구 오목로 48, 지상1층 (신월동)",이디야커피 강서초교점,37.522005623550626,126.8400557081558
이디야,강남구,"서울특별시 강남구 학동로34길 22, 지상1층 (논현동)",이디야커피 학동제마점,37.51313907546471,127.03075981724868
이디야,금천구,"서울특별시 금천구 시흥대로 399, 지상1층 103호 (독산동, 시티렉스)",이디야커피 독산롯데시네마점,37.46940739534095,126.89456262588334
이디야,영등포구,"서울특별시 영등포구 국회대로72길 4, 아이비피아빌딩 1층 2호 (여의도동)",(주)앙크인베스트먼트 이디야커피 국회대로점,37.53030589986123,126.91707325486955
이디야,영등포구,"서울특별시 영등포구 국회대로72길 17, KCC파크타운 제1층 101-1호 (여의도동)",(주)앙크인베스트먼트 이디야커피 서여의도점,37.52954797831473,126.91833557020549
이디야,영등포구,"서울특별시 영등포구 영중로 16-1, 1,2층 (영등포동3가)",이디야영등포점,37.51788068085928,126.90327739878396
이디야,동작구,"서울특별시 동작구 현충로 100-1, 2층 (흑석동)",이디야커피흑석역점,37.507644578796395,126.96184734864545
이디야,종로구,"서울특별시 종로구 율곡로 286, 야드인빌딩 2층 (종로6가)",이디야 동대문역점,37.57182882835484,127.00522344530432
이디야,종로구,"서울특별시 종로구 동호로 406-1, 1층 (종로5가)",이디야 커피,37.57060037280623,126.99936682763307
이디야,종로구,서울특별시 종로구 필운대로1길 35 (필운동),이디야 커피,37.577796894002255,126.96462407314459
이디야,종로구,"서울특별시 종로구 성균관로 8, 1층 (명륜2가)",이디야,37.58365416303292,126.99545133124451
이디야,종로구,"서울특별시 종로구 삼봉로 81 (수송동,108호)",이디야커피,37.57256394155695,126.97893317218576
이디야,종로구,"서울특별시 종로구 홍지문2길 6 (홍지동,지상1층)",이디야커피,37.601358066727165,126.95333861017947
이디야,종로구,"서울특별시 종로구 김상옥로 1, 1층 (인의동)",이디야 종로4가점,37.5735080421577,126.99501304307394
이디야,종로구,"서울특별시 종로구 대학로 81-1 (연건동,지상1층)",이디야,37.578503218738305,126.99902684898134
이디야,종로구,"서울특별시 종로구 대학로 33, 1층 (효제동)",이디야커피 종로5가점,37.57421618580101,126.99894430274371
이디야,종로구,"서울특별시 종로구 숭인동길 6 (숭인동,지상1,2층)",이디야커피,37.5752620757364,127.01870663201943
이디야,종로구,"서울특별시 종로구 삼일대로15길 13 (관철동,지상1층)",이디야커피,37.568778841330065,126.98384723473288
이디야,종로구,"서울특별시 종로구 혜화로 3-1, 1,2층 (혜화동)",이디야커피(혜화동로터리),37.586058164115336,126.99765615534967
이디야,종로구,"서울특별시 종로구 종로 354, 1층 (숭인동)",이디야 동묘역점,37.573105412058716,127.01390469532394
이디야,종로구,"서울특별시 종로구 수표로 109-1, 1층 (낙원동)",이디야 탑골공원점,37.57101328599334,126.98631949375365
이디야,종로구,"서울특별시 종로구 종로 126 (종로3가,(지상1층))",이디야커피,37.5701002561715,126.98864593679096
이디야,종로구,"서울특별시 종로구 북촌로5길 39, 2층 (화동)",이디야커피 북촌마을점,37.57933900356357,126.97982077822513
이디야,종로구,"서울특별시 종로구 통일로 266, 1층 (무악동)",이디야(EDIYA),37.57585611780709,126.9538951660724
이디야,중구,"서울특별시 중구 을지로 79, 지하1층 (을지로2가)",이디야 IBK본점,37.56650189994194,126.98367097371276
이디야,중구,"서울특별시 중구 세종대로20길 23, 원창빌딩 1층 101-A호 (무교동)",이디야 시청점,37.56715372576177,126.97586644320307
이디야,중구,"서울특별시 중구 수표로 45 (저동2가,외13필지 비즈센터 102호(지상1층))",이디야 을지로3가점,37.56545322364315,126.98678814602987
이디야,중구,"서울특별시 중구 을지로43길 38, 지상1층 (을지로6가)",이디야커피 동대문점,37.56770514676926,127.0048738762544
이디야,중구,"서울특별시 중구 세종대로11길 26 (서소문동,1층)",이디야커피,37.56238370018821,126.97159777888608
이디야,중구,"서울특별시 중구 세종대로2길 7 (남대문로5가,(지상1층))",이디야 커피,37.55771810394407,126.97103451291007
이디야,중구,"서울특별시 중구 서소문로11길 8 (서소문동,지상1층)",이디야 서소문점,37.563260117534575,126.97022771328946
이디야,중구,"서울특별시 중구 다산로 181-2, 1층 (신당동)",이디야 청구역점,37.5597754133001,127.01034490307204
이디야,중구,"서울특별시 중구 퇴계로 449-8, 1,2층 (황학동)",이디야 신당중앙점,37.565647708943736,127.01938626410764
이디야,중구,"서울특별시 중구 퇴계로 72, 1층 104호 (회현동1가)",이디야(회현SK리더스점),37.55912667629928,126.97774632241807
이디야,중구,"서울특별시 중구 다동길 46, 1층 108호 (다동)",이디야 다동점,37.56792281992176,126.97916494900868
이디야,중구,"서울특별시 중구 청계천로 318, 동평화상가  1층 110,111호 (신당동)",이디야 동평화점,37.56946143440584,127.0110564011177
이디야,중구,"서울특별시 중구 퇴계로 218-5, 1층 (필동2가)",이디야,37.56138286339993,126.99339011520762
이디야,중구,"서울특별시 중구 동호로 186-13, 1,2층 (신당동)",이디야커피 약수역점,37.55455871632817,127.00874901109131
이디야,중구,"서울특별시 중구 서애로 7 (충무로5가,외1필지 (지상1층))",이디야커피동국대점,37.561401169753616,126.99560709046075
이디야,중구,서울특별시 중구 퇴계로 188 (필동1가),이디야커피,37.560828588387594,126.98966234697035
이디야,중구,"서울특별시 중구 남대문로 29-2 (남대문로3가, 1층)",이디야커피 한국은행점,37.56144358921521,126.97607365797235
이디야,중구,"서울특별시 중구 명동10길 20 (명동2가,1층)",이디야커피명동중앙점,37.562971404363935,126.98239668649539
이디야,중구,"서울특별시 중구 마른내로 109-1, 1층 (오장동)",이디야커피,37.564610506276274,126.99724647793487
이디야,중구,"서울특별시 중구 퇴계로27길 31 (충무로3가,(1층))",이디야 충무로3가점,37.562567758148695,126.98835823071465
이디야,중구,"서울특별시 중구 창경궁로 2, 남경빌딩 1층 (충무로5가)",이디야커피,37.56255382837641,126.99581266494263
이디야,중구,"서울특별시 중구 만리재로 175, 402동 102호 (만리동2가, 서울역센트럴자이)",이디야커피 만리동고개점,37.55416168145998,126.96055236451446
이디야,용산구,"서울특별시 용산구 효창원로66길 2, 1층 (효창동)",이디야커피,37.5405758912689,126.9592902234498
이디야,용산구,"서울특별시 용산구 이촌로77길 19, 1층 (이촌동)",이디야커피,37.5206993846403,126.97230206507133
이디야,용산구,"서울특별시 용산구 원효로 257, 지상1층 (원효로1가)",이디야,37.54064785155491,126.96632701371584
이디야,용산구,"서울특별시 용산구 원효로41길 73, 1층 (원효로2가)",이디야용문점,37.535844970100364,126.95824704496214
이디야,용산구,"서울특별시 용산구 대사관로 72, 지상1층 12,13호 (한남동)",이디야커피순천향병원점,37.5330482224119,127.00304763340289
이디야,용산구,"서울특별시 용산구 한남대로 72 (한남동, 707-18외1필지 지상1층)",이디야IBK고객센터,37.53507481357099,127.0041222580742
이디야,용산구,"서울특별시 용산구 원효로 70, 1층 (원효로4가)",이디야용산원효점,37.53250935177538,126.9487234778732
이디야,용산구,"서울특별시 용산구 청파로71길 10, 1층 (청파동1가)",이디야커피용산청파점,37.54945922083455,126.96652287974008
이디야,양천구,"서울특별시 양천구 오목로 155, 1층 (신정동)",이디야커피 신정역점,37.5249831846373,126.85176221213312
이디야,성동구,"서울특별시 성동구 난계로 35, 2층 (금호동1가)",이디야 커피,37.555497742831946,127.02168003675723
이디야,성동구,"서울특별시 성동구 무학로 22, 1층 (홍익동)",이디야(왕십리 센트라스점),37.56608013957785,127.02742271441426
이디야,성동구,"서울특별시 성동구 왕십리로 309 (행당동,왕십리역이스타빌 103호(지상1층))",이디야,37.56119843197606,127.03171983756351
이디야,성동구,"서울특별시 성동구 독서당로 381, 1층 108호,109호 (응봉동, 현대종합상가)",이디야 응봉동점,37.55104688756822,127.02806397263625
이디야,성동구,"서울특별시 성동구 매봉길 12, 1층 (옥수동, 517-12)",이디야커피,37.54527403454552,127.01282802151417
이디야,성동구,"서울특별시 성동구 성수이로 118 (성수동2가,성수아카데미아 104호 지상1층)",이디야성수아카데미점,37.545192812049514,127.05492812126889
