브랜드,시군구별,도로명주소,사업장명,위도,경도
메가커피,관악구,"서울특별시 관악구 난곡로 176, 1층 (신림동)",메가엠지씨커피 난곡우림시장점,37.47077244479012,126.9171884848041
메가커피,송파구,"서울특별시 송파구 양재대로 932, 가락동 농수산물도매시장 업무동 1층 (가락동)",엠엘(주) 메가엠지씨커피 가락몰점,37.493482825128346,127.10861364258434
메가커피,양천구,"서울특별시 양천구 목동중앙로 43, 1층 101호 (목동, 목동 글로리파크)",메가엠지씨커피 목동3단지점,37.53353778163159,126.86659977911309
메가커피,중구,"서울특별시 중구 명동9길 13, 1층 (명동1가)",메가엠지씨커피 명동길점,37.56440598411999,126.98189365419839
메가커피,서대문구,"서울특별시 서대문구 신촌로35길 10, 402엠동 1층 111-1호 (북아현동, 이편한세상신촌)",메가엠지씨커피 아현역점,37.55825908126239,126.95297089852428
메가커피,서대문구,"서울특별시 서대문구 세무서길 6, 1층 (홍제동)",메가엠지씨커피 홍제역점,37.58823026058514,126.94250461071007
메가커피,서초구,"서울특별시 서초구 동산로12길 3, 1층 (양재동)",메가엠지씨커피 양재중앙점,37.47162646572797,127.04239907769042
메가커피,영등포구,"서울특별시 영등포구 신풍로17길 16, 1층 (신길동)",메가엠지씨커피 보라매SK뷰점,37.50139091669571,126.91379782939471
메가커피,서초구,"서울특별시 서초구 서초중앙로26길 10, 1층 (서초동)",메가엠지씨커피 교대법원점,37.495523542457086,127.01151859490523
메가커피,서초구,"서울특별시 서초구 서초중앙로 72, 영빌딩 1층 101호 (서초동)",메가엠지씨커피 서울교대사거리점,37.488237267656494,127.01200667188249
메가커피,성동구,"서울특별시 성동구 한림말5길 9, 지상1층 (옥수동)",메가엠지씨커피 옥수역점,37.542023236673984,127.01385031683073
메가커피,영등포구,"서울특별시 영등포구 국제금융로7길 22, 1층 103호 (여의도동)",메가엠지씨커피 여의대교점,37.523213257989156,126.93019578804964
메가커피,강남구,"서울특별시 강남구 학동로4길 8, 지상1층 101호 (논현동)",메가엠지씨커피논현가구거리점,37.51089804966676,127.01996481676481
메가커피,종로구,"서울특별시 종로구 대학로 144, 중원빌딩 1층 101호 (혜화동)",메가엠지씨커피대학로중앙점,37.58396482087762,126.99927682321895
메가커피,노원구,"서울특별시 노원구 상계로 305, 당고개역 1층 409-028-03호 (상계동)",메가엠지씨커피 당고개역점,37.67060731096217,127.07644187704689
메가커피,송파구,"서울특별시 송파구 백제고분로 497, 1층 103호 (방이동, 효성올림픽카운티)",메가엠지씨커피 한성백제역점,37.51492269764615,127.11159589989673
메가커피,노원구,"서울특별시 노원구 노원로 257, 인정빌딩 104호 (하계동)",메가엠지씨커피 하계온천점,37.64026075000998,127.06984884451553
메가커피,송파구,"서울특별시 송파구 백제고분로12길 4, 1층 (잠실동)",메가엠지씨커피 잠실본점,37.50591893690061,127.07812269180603
메가커피,강서구,"서울특별시 강서구 공항대로 28, 1층 (공항동)",메가엠지씨커피 송정역점,37.561058768869685,126.80737314479306
메가커피,강동구,"서울특별시 강동구 구천면로 252, 1층 (천호동)",메가엠지씨커피 천호시장점,37.54272317792276,127.12869720690887
메가커피,금천구,"서울특별시 금천구 가산디지털1로 5, 대륭테크노타운 20차 지상1층 115호 (가산동)",메가MGC커피 독산대륭20차점,37.46681453457507,126.88396182847413
메가커피,동작구,"서울특별시 동작구 등용로 86-1, 1층 (대방동)",메가엠지씨커피 동작대방점,37.50899541391034,126.92944021784987
메가커피,성북구,"서울특별시 성북구 동소문로 69, 동문빌딩 1층 (동소문동4가)",메가엠지씨(MGC)커피 성북구청 사거리점,37.591942729351636,127.01003872966521
메가커피,강서구,"서울특별시 강서구 가로공원로76길 73, 1층 (화곡동)",메가엠지씨커피 화곡중앙시장점,37.53398360360274,126.83566600590828
메가커피,강남구,"서울특별시 강남구 가로수길 19, 지상1층 (신사동)",메가엠지씨커피 가로수길점,37.51918153634358,127.02007394568564
